Kepler ID	KOI	T_dur (h)	Depth	SNR	t0 (days)	e_t0	Peiod (days)	e_period	d/R_star	e_(d/R_star)	R_p/R_Star	e_(R_p/R_Star)	b	e_b	Radius_plan	a (AU)	Teq (K)	chi	Teff	log(g)	s_Rad	Kepmag	f_Teff
7941200	92.01	3.7622	656	76.1	70.44254	1.60E-03	65.7046204	2.70E-04	55.308731	14.67708	0.02914	6.80E-04	0.942	0.146	3.32	0.327	469	1.32	5952	4.43	1.04	11.667	2
6462863	94.01	6.6986	5745	455.3	65.74047	1.90E-04	22.3430004	1.10E-05	26.100185	0.61904	0.06856	1.20E-04	0.3055	0.119	9.25	0.165	751	3.89	6217	4.33	1.24	12.205	2
6462863	94.02	5.2039	775	78.2	71.00718	9.30E-04	10.423707	2.60E-05	15.699919	0.37237	0.02544	1.20E-04	0.0194	0.219	3.43	0.099	970	1.2	6217	4.33	1.24	12.205	2
6462863	94.03	8.4943	1932	206.1	94.23998	7.90E-04	54.319931	1.20E-04	47.19059	1.11925	0.04058	1.30E-04	0.3872	0.116	5.48	0.298	559	3.4	6217	4.33	1.24	12.205	2
6462863	94.04	3.602	131	35.5	64.6139	2.90E-03	3.7432451	3.10E-05	7.931977	0.18813	0.01045	1.90E-04	0.1687	0.205	1.41	0.05	1364	1.57	6217	4.33	1.24	12.205	2
5780885	97.01	5.2295	7570	2366.7	67.27608	6.00E-05	4.885489	9.00E-07	6.84175	0.02399	0.08284	3.00E-05	0.5145	0.041	16.05	0.061	1413	1.71	5934	4.04	1.78	12.885	3
10264660	98.01	6.2711	2276	912.4	71.08734	1.90E-04	6.7901235	3.60E-06	7.299178	0.03202	0.05608	5.00E-05	0.5878	0.041	9.97	0.078	1290	1.9	6395	4.15	1.63	12.128	3
4055765	100.01	4.7513	1535	131.1	74.15129	1.20E-03	9.9664392	3.20E-05	7.08317	1.57404	0.04455	6.40E-04	0.9484	0.094	15.46	0.11	1573	1.5	6630	3.69	3.18	12.598	2
8456679	102.01	2.4704	918	331.8	68.05914	2.50E-04	1.7351363	1.20E-06	3.460566	0.70337	0.03144	1.30E-03	0.8204	0.334	3.7	0.029	1571	1.67	5838	4.42	1.08	12.566	2
2444412	103.01	3.3256	821	111.9	74.34015	8.80E-04	14.9107447	3.50E-05	26.561329	11.62487	0.02849	1.90E-03	0.676	0.567	2.97	0.115	703	4.27	5531	4.44	0.96	12.593	3
10318874	104.01	1.1419	1501	293.4	67.9997	1.70E-04	2.5080585	1.60E-06	11.034157	3.37638	0.04065	2.60E-03	0.8083	0.386	3.36	0.034	996	1.56	4786	4.59	0.76	12.895	3
8711794	105.01	1.897	1094	171	69.64871	5.30E-04	8.9810085	1.30E-05	27.322157	13.09089	0.03213	3.40E-03	0.7037	0.701	3.35	0.08	861	1.05	5649	4.4	0.96	12.87	2
11250587	107.01	5.1108	469	136.2	67.02111	9.90E-04	7.2569985	1.90E-05	6.519994	0.05305	0.02228	1.10E-04	0.831	0.06	3.09	0.077	1062	1.25	5919	4.29	1.27	12.702	2
4914423	108.01	4.6518	486	84.7	75.1763	1.10E-03	15.9653492	4.70E-05	16.788574	0.55119	0.02224	1.40E-04	0.7975	0.096	2.94	0.13	805	1.21	5975	4.33	1.21	12.287	3
4914423	108.02	13.436	1233	111.2	228.33037	1.70E-03	179.6010437	1.20E-03	84.288338	2.76729	0.03371	1.70E-04	0.6224	0.105	4.45	0.654	359	0.94	5975	4.33	1.21	12.287	3
9450647	110.01	3.9767	534	120.9	68.21471	8.00E-04	9.9406786	2.20E-05	13.22037	1.30697	0.02289	1.80E-04	0.7544	0.169	2.92	0.095	982	1.04	6344	4.36	1.17	12.663	1
6678383	111.01	4.5865	511	96.8	70.61387	1.20E-03	11.4275122	3.60E-05	16.520111	1.80145	0.02107	2.00E-04	0.5392	0.227	2.14	0.092	801	1.1	5711	4.41	0.93	12.596	3
6678383	111.02	5.7564	458	71	65.71291	1.90E-03	23.6683445	1.20E-04	26.84255	2.92707	0.02024	2.30E-04	0.5578	0.224	2.05	0.15	627	1.03	5711	4.41	0.93	12.596	3
6678383	111.03	7.3856	616	75.8	204.08318	2.10E-03	51.7562675	3.60E-04	45.22242	4.93132	0.02328	2.60E-04	0.5777	0.22	2.36	0.253	483	1	5711	4.41	0.93	12.596	3
10984090	112.01	6.4316	771	105	118.17954	1.40E-03	51.0793076	2.10E-04	49.875164	10.51296	0.02649	4.60E-04	0.6149	0.296	2.86	0.273	492	1.23	5853	4.46	0.99	12.772	2
10984090	112.02	2.6782	137	39	66.9857	2.20E-03	3.7091908	2.50E-05	8.681081	1.82985	0.01109	2.60E-04	0.5952	0.301	1.2	0.047	1185	1.7	5853	4.46	0.99	12.772	2
9579641	115.01	2.8202	601	144.9	66.14237	5.60E-04	5.4122014	8.60E-06	13.569642	1.69605	0.02292	2.10E-04	0.438	0.262	3.33	0.063	1258	1.22	6202	4.24	1.33	12.791	1
9579641	115.02	2.8255	187	41.3	72.00315	2.00E-03	7.1259675	4.00E-05	16.301027	2.03744	0.01296	2.30E-04	0.5583	0.252	1.88	0.076	1146	1.29	6202	4.24	1.33	12.791	1
9579641	115.03	2.6142	20	6.3	65.65736	1.10E-02	3.4358442	1.20E-04	10.023239	1.25279	0.00434	3.90E-04	0.1247	0.433	0.63	0.046	1473	1.32	6202	4.24	1.33	12.791	1
8395660	116.01	3.3561	509	61.1	69.27992	1.60E-03	13.5707273	5.90E-05	18.747845	5.31633	0.02283	5.10E-04	0.8238	0.249	2.58	0.111	791	1.3	5865	4.41	1.04	12.882	3
8395660	116.02	6.42	608	57.6	84.93488	2.60E-03	43.8443756	3.30E-04	40.972443	11.61855	0.02373	5.10E-04	0.6569	0.325	2.68	0.244	533	1.1	5865	4.41	1.04	12.882	3
8395660	116.03	2.8207	54	9.7	68.63562	8.70E-03	6.1648898	1.50E-04	11.078973	3.14166	0.0077	5.50E-04	0.7601	0.325	0.87	0.066	1025	1.27	5865	4.41	1.04	12.882	3
10875245	117.01	6.7159	430	92.3	71.77877	1.80E-03	14.7491026	7.60E-05	7.616955	0.34884	0.02271	1.60E-04	0.9182	0.071	2.93	0.125	807	1.01	5949	4.37	1.18	12.487	2
10875245	117.02	4.41	139	41.1	71.60392	2.60E-03	4.9014673	3.90E-05	3.654447	0.16737	0.01321	2.00E-04	0.9241	0.102	1.7	0.06	1165	1.14	5949	4.37	1.18	12.487	2
10875245	117.03	3.7308	118	42	66.5041	2.30E-03	3.1799622	2.50E-05	2.738749	0.12543	0.01222	1.90E-04	0.9324	0.105	1.58	0.045	1345	1.11	5949	4.37	1.18	12.487	2
10875245	117.04	4.2797	63	15.2	70.8159	7.10E-03	7.9579163	1.70E-04	5.048208	0.2312	0.00833	3.80E-04	0.9461	0.143	1.07	0.083	991	1.17	5949	4.37	1.18	12.487	2
3531558	118.01	5.9672	278	49.1	71.68	2.80E-03	24.9933414	1.90E-04	21.563137	2.80094	0.01656	2.40E-04	0.7616	0.183	1.41	0.151	562	1.01	5605	4.52	0.78	12.377	1
9471974	119.01	11.4739	1615	152.9	74.90956	9.20E-04	49.1843071	1.30E-04	28.729311	0.33776	0.03754	9.00E-05	0.5544	0.066	3.76	0.251	454	1.21	5380	4.45	0.92	12.654	1
9471974	119.02	15.6346	1149	63.2	245.68117	2.60E-03	190.3134155	2.00E-03	70.808784	0.83246	0.03297	2.00E-04	0.6981	0.079	3.3	0.618	289	1.13	5380	4.45	0.92	12.654	1
8349582	122.01	4.0638	514	105.5	64.96866	9.20E-04	11.5230627	2.80E-05	12.902987	1.18005	0.02342	2.00E-04	0.8333	0.137	2.78	0.102	823	1.26	5714	4.39	1.09	12.346	3
5094751	123.01	3.6334	318	98.5	55.97369	1.00E-03	6.4816737	1.80E-05	11.562463	1.10468	0.01686	1.50E-04	0.5632	0.21	2.64	0.069	1181	1.15	5871	4.15	1.43	12.365	3
5094751	123.02	6.4708	366	78.3	70.57375	1.70E-03	21.2225342	9.30E-05	25.495123	2.43582	0.01734	1.60E-04	0.0103	0.763	2.71	0.153	793	1.04	5871	4.15	1.43	12.365	3
11086270	124.01	4.1529	262	36	70.1212	3.10E-03	12.6911459	1.10E-04	10.977273	0.84364	0.01747	3.30E-04	0.9032	0.106	3	0.109	990	2.41	5899	4.07	1.58	12.935	2
11086270	124.02	5.3504	364	37	75.81904	3.80E-03	31.7198696	3.20E-04	20.216913	1.55375	0.02083	3.90E-04	0.9183	0.097	3.58	0.2	731	1.41	5899	4.07	1.58	12.935	2
8359498	127.01	2.8982	11452	1880.4	67.02941	5.00E-05	3.5787828	5.00E-07	10.35903	0.43306	0.09633	3.60E-04	0.0248	0.216	10.92	0.047	1189	3.39	5731	4.45	1.04	13.938	2
11359879	128.01	3.382	11151	1290.7	69.329	7.00E-05	4.9427834	9.00E-07	10.339862	0.55011	0.1006	2.80E-04	0.599	0.115	11.95	0.059	1097	3.94	5786	4.42	1.09	13.758	2
7778437	131.01	4.599	6419	830.7	66.17363	1.40E-04	5.0142326	2.10E-06	8.954819	0.26254	0.07292	1.60E-04	0.0284	0.156	9.61	0.062	1216	1.58	6244	4.38	1.21	13.797	1
9818381	135.01	2.8179	7800	1554.8	65.41593	7.00E-05	3.0240948	6.00E-07	8.730808	0.39415	0.08054	3.90E-04	0.1992	0.189	10.55	0.044	1402	1.36	6082	4.37	1.2	13.958	2
8644288	137.01	3.4533	2292	299	68.40746	3.70E-04	7.6415706	7.60E-06	15.432429	2.22813	0.04452	6.00E-04	0.5094	0.27	4.75	0.075	858	1.47	5385	4.43	0.98	13.549	3
8644288	137.02	3.6292	3235	305.6	61.15272	3.70E-04	14.8589401	1.40E-05	24.042028	3.47118	0.05629	7.70E-04	0.725	0.218	6	0.116	690	1.99	5385	4.43	0.98	13.549	3
8644288	137.03	2.1192	302	44.7	66.50433	1.60E-03	3.5047612	1.70E-05	9.178073	1.32513	0.01708	3.80E-04	0.7149	0.231	1.82	0.044	1120	1.23	5385	4.43	0.98	13.549	3
8506766	138.01	6.5678	6712	452.9	73.76535	4.40E-04	48.9379654	6.20E-05	30.652925	1.12506	0.1229	6.40E-03	0.9855	0.141	22.88	0.291	723	1.4	6772	4.11	1.71	13.96	1
8559644	139.01	11.1189	3498	184.1	75.08736	1.20E-03	224.7971191	9.50E-04	121.48877	12.2077	0.0579	4.90E-04	0.7074	0.184	7.33	0.763	324	1.47	5952	4.38	1.16	13.492	3
8559644	139.02	2.9021	154	33.5	74.35212	2.50E-03	3.3418403	2.60E-05	7.345129	0.73807	0.01179	2.60E-04	0.5778	0.235	1.49	0.046	1319	1.12	5952	4.38	1.16	13.492	3
12105051	141.01	1.4219	2572	312.8	65.30438	1.80E-04	2.6242335	1.60E-06	9.225783	3.05071	0.05329	1.60E-03	0.8279	0.27	5.42	0.037	1202	1.38	5425	4.5	0.93	13.687	2
5446285	142.01	3.5472	1455	175.2	66.0191	4.80E-04	10.9163847	1.40E-05	17.628616	4.9468	0.03752	9.50E-04	0.718	0.305	4.08	0.098	791	3.53	5621	4.47	1	13.113	2
4180280	144.01	3.621	1356	203.3	66.08948	5.30E-04	4.17626	6.50E-06	7.492567	0.86632	0.03484	4.30E-04	0.5962	0.225	3.02	0.048	890	1.21	4955	4.57	0.8	13.698	2
5735762	148.01	2.8412	447	70.6	57.06301	1.00E-03	4.7779803	1.40E-05	7.864491	0.98201	0.02208	3.10E-04	0.8214	0.169	2.14	0.053	937	1.45	5190	4.49	0.89	13.04	3
5735762	148.02	3.5027	950	129.7	58.33981	7.70E-04	9.6739283	2.00E-05	12.586633	1.57165	0.03243	4.00E-04	0.8438	0.158	3.14	0.085	740	1.28	5190	4.49	0.89	13.04	3
5735762	148.03	5.9308	552	47.2	79.06567	2.80E-03	42.895916	3.20E-04	33.971783	4.24194	0.02426	4.10E-04	0.8194	0.168	2.35	0.23	450	1.32	5190	4.49	0.89	13.04	3
3835670	149.01	7.7648	966	140.9	78.09431	1.30E-03	14.5573387	5.00E-05	14.70345	0.49278	0.02812	1.40E-04	0.0697	0.138	5.5	0.12	962	1.77	5642	3.97	1.79	13.397	2
7626506	150.01	3.5964	803	106.1	67.0042	9.00E-04	8.4089165	2.10E-05	12.879376	2.47172	0.02803	4.40E-04	0.7343	0.244	2.63	0.075	827	1.08	5538	4.46	0.86	13.771	1
7626506	150.02	5.1899	855	81.9	76.8322	1.60E-03	28.5741425	1.20E-04	29.11054	5.5867	0.02913	4.70E-04	0.7619	0.232	2.73	0.169	551	1.11	5538	4.46	0.86	13.771	1
2307199	151.01	3.2337	1296	74.3	65.82816	1.30E-03	13.4472466	4.70E-05	12.374251	1.95708	0.05054	6.60E-03	0.9762	0.162	5.47	0.11	799	1.82	6028	4.43	0.99	14	1
8394721	152.01	8.6203	2971	158.8	91.74402	9.60E-04	52.091011	1.50E-04	48.449379	4.31966	0.04947	3.20E-04	0.0083	0.917	5.36	0.281	513	1.29	6187	4.48	0.99	13.914	1
8394721	152.02	6.784	805	57.6	66.62993	2.40E-03	27.4025154	1.80E-04	31.57233	2.81493	0.0256	2.90E-04	0.0733	0.244	2.77	0.183	636	1.55	6187	4.48	0.99	13.914	1
8394721	152.03	5.0466	660	58.2	69.61852	2.00E-03	13.4844675	7.40E-05	19.678965	1.75454	0.0239	2.80E-04	0.3464	0.234	2.59	0.114	806	1.22	6187	4.48	0.99	13.914	1
